,dest,busy_dest
0,ATL,4
1,ORD,4
2,DFW,4
3,DEN,4
4,LAX,4
5,CLT,4
6,SEA,4
7,PHX,4
8,SFO,4
9,IAH,4
10,DTW,3
11,LGA,3
12,LAS,3
13,MSP,3
14,PHL,3
15,EWR,3
16,BOS,3
17,DCA,3
18,MCO,3
19,JFK,3
20,SLC,3
21,BWI,3
22,FLL,3
23,SAN,3
24,IAD,3
25,PDX,3
26,MIA,3
27,MDW,3
28,BNA,3
29,TPA,3
30,STL,3
31,DAL,3
32,SJC,3
33,RDU,3
34,AUS,3
35,MCI,3
36,HOU,3
37,MSY,3
38,OAK,3
39,HNL,3
40,SMF,3
41,CLE,3
42,PIT,3
43,IND,3
44,CVG,3
45,CMH,3
46,SNA,3
47,SAT,3
48,MKE,3
49,JAX,3
50,RSW,3
51,BUR,3
52,BDL,3
53,SDF,3
54,BUF,3
55,OMA,3
56,BOI,3
57,MEM,3
58,OGG,3
59,ABQ,3
60,CHS,3
61,SJU,3
62,RIC,3
63,OKC,3
64,PBI,3
65,ORF,3
66,RNO,3
67,GEG,3
68,BHM,3
69,ONT,3
70,PVD,3
71,GRR,3
72,TUS,3
73,ANC,3
74,ELP,3
75,TYS,3
76,DSM,3
77,SAV,3
78,ROC,3
79,TUL,3
80,GSO,3
81,SYR,3
82,ALB,3
83,DAY,3
84,MSN,3
85,GSP,3
86,LGB,3
87,XNA,3
88,LIT,3
89,KOA,3
90,PWM,3
91,LIH,3
92,LEX,3
93,ICT,3
94,FAT,2
95,MHT,2
96,MDT,2
97,HPN,2
98,PNS,2
99,MYR,2
100,CAE,2
101,BTV,2
102,COS,2
103,PSP,2
104,CID,2
105,SGF,2
106,SFB,2
107,HSV,2
108,CHA,2
109,JAN,2
110,MFR,2
111,AVL,2
112,EUG,2
113,MAF,2
114,VPS,2
115,ILM,2
116,FSD,2
117,CHO,2
118,SRQ,2
119,BZN,2
120,BTR,2
121,CAK,2
122,RDM,2
123,SBA,2
124,SBN,2
125,LBB,2
126,FWA,2
127,PIE,2
128,FAR,2
129,PSC,2
130,ATW,2
131,ITO,2
132,ROA,2
133,MLI,2
134,TLH,2
135,ASE,2
136,SHV,2
137,GRB,2
138,ABE,2
139,RAP,2
140,BGR,2
141,MSO,2
142,MOB,2
143,ISP,2
144,EVV,2
145,AVP,2
146,AGS,2
147,PIA,2
148,CRP,2
149,AMA,2
150,ECP,2
151,CRW,2
152,PGD,2
153,BIS,2
154,SCE,2
155,BIL,2
156,SBP,2
157,TVC,2
158,JAC,2
159,GJT,2
160,GPT,2
161,FCA,2
162,FAI,2
163,EYW,2
164,LFT,2
165,GNV,2
166,MRY,2
167,RST,2
168,FNT,2
169,AZA,2
170,JNU,2
171,STS,2
172,DRO,2
173,MFE,2
174,AZO,2
175,LAN,2
176,BLI,2
177,FAY,2
178,PHF,2
179,MGM,2
180,PAE,2
181,CWA,2
182,GTF,2
183,AEX,2
184,HRL,2
185,TRI,2
186,LNK,2
187,DAB,2
188,OAJ,2
189,SGU,2
190,MLU,2
191,COU,1
192,DLH,1
193,BMI,1
194,MOT,1
195,GRK,1
196,ITH,1
197,MBS,1
198,ACY,1
199,KTN,1
200,EWN,1
201,IDA,1
202,ELM,1
203,ERI,1
204,BFL,1
205,SWF,1
206,BQN,1
207,BRO,1
208,LRD,1
209,STT,1
